Altitude,Oxygen
0,20.9
500,19.6
1000,18.4
1500,17.3
2000,16.3
2500,15.3
3000,14.3
3500,13.5
4000,12.7
4500,11.9
5000,11.2
5500,10.5
6000,9.9
6500,9.3
7000,8.7
7500,8.2
8000,7.7
8500,7.2
9000,6.8
9500,6.4
10000,6
10500,5.6
11000,5.3
11500,5
12000,4.7
12500,4.5
13000,4.3
13500,4.1
14000,3.9
14500,3.7
15000,3.5
15500,3.3
16000,3.2
16500,3.1
17000,3
17500,2.9
18000,2.9
18500,2.8
19000,2.8
19500,2.7
20000,2.7
20500,2.6
21000,2.6
21500,2.5
22000,2.5
22500,2.4
23000,2.3
23500,2.2
24000,2.1
24500,2
25000,1.9
25500,1.8
26000,1.7
26500,1.6
27000,1.5
27500,1.4
28000,1.3
28500,1.2
29000,1.1
29500,1
30000,0.9
30500,0.8
31000,0.7
31500,0.6
32000,0.5
