Altitude,Temperature
0,21
8,21
16,21
24,21
32,21
40,21
48,21
56,21
64,20.94
72,20.88
80,20.82
88,20.76
96,20.7
104,20.64
112,20.58
120,20.52
128,20.46
136,20.4
144,20.34
152,20.28
160,20.22
168,20.16
176,20.1
184,20.04
192,19.98
200,19.92
208,19.86
216,19.8
224,19.74
232,19.68
240,19.62
248,19.56
256,19.5
264,19.44
272,19.38
280,19.32
288,19.26
296,19.2
304,19.14
312,19.08
320,19.02
328,18.96
336,18.9
344,18.84
352,18.78
360,18.72
368,18.66
376,18.6
384,18.54
392,18.48
400,18.42
408,18.36
416,18.3
424,18.24
432,18.18
440,18.12
448,18.06
456,18
464,17.94
472,17.88
480,17.82
488,17.76
496,17.7
504,17.64
512,17.58
520,17.52
528,17.46
536,17.4
544,17.34
552,17.28
560,17.22
568,17.16
576,17.1
584,17.04
592,16.98
600,16.92
608,16.86
616,16.8
624,16.74
632,16.68
640,16.62
648,16.56
656,16.5
664,16.44
672,16.38
680,16.32
688,16.26
696,16.2
704,16.14
712,16.08
720,16.02
728,15.96
736,15.9
744,15.84
752,15.78
760,15.72
768,15.66
776,15.6
784,15.54
792,15.48
800,15.42
808,15.36
816,15.3
824,15.24
832,15.18
840,15.12
848,15.06
856,15
864,14.94
872,14.88
880,14.82
888,14.76
896,14.7
904,14.64
912,14.58
920,14.52
928,14.46
936,14.4
944,14.34
952,14.28
960,14.22
968,14.16
976,14.1
984,14.04
992,13.98
1000,13.92
1008,13.86
1016,13.8
1024,13.74
1032,13.68
1040,13.62
1048,13.56
1056,13.5
1064,13.44
1072,13.38
1080,13.32
1088,13.26
1096,13.2
1104,13.14
1112,13.08
1120,13.02
1128,12.96
1136,12.9
1144,12.84
1152,12.78
1160,12.72
1168,12.66
1176,12.6
1184,12.54
1192,12.48
1200,12.42
1208,12.36
1216,12.3
1224,12.24
1232,12.18
1240,12.12
1248,12.06
1256,12
1264,11.94
1272,11.88
1280,11.82
1288,11.76
1296,11.7
1304,11.64
1312,11.58
1320,11.52
1328,11.46
1336,11.4
1344,11.34
1352,11.28
1360,11.22
1368,11.16
1376,11.1
1384,11.04
1392,10.98
1400,10.92
1408,10.86
1416,10.8
1424,10.74
1432,10.68
1440,10.62
1448,10.56
1456,10.5
1464,10.44
1472,10.38
1480,10.32
1488,10.26
1496,10.2
1504,10.14
1512,10.08
1520,10.02
1528,9.96
1536,9.9
1544,9.84
1552,9.78
1560,9.72
1568,9.66
1576,9.6
1584,9.54
1592,9.48
1600,9.42
1608,9.36
1616,9.3
1624,9.24
1632,9.18
1640,9.12
1648,9.06
1656,9
1664,8.94
1672,8.88
1680,8.82
1688,8.76
1696,8.7
1704,8.64
1712,8.58
1720,8.52
1728,8.46
1736,8.4
1744,8.34
1752,8.28
1760,8.22
1768,8.16
1776,8.1
1784,8.04
1792,7.98
1800,7.92
1808,7.86
1816,7.8
1824,7.74
1832,7.68
1840,7.62
1848,7.56
1856,7.5
1864,7.44
1872,7.38
1880,7.32
1888,7.26
1896,7.2
1904,7.14
1912,7.08
1920,7.02
1928,6.96
1936,6.9
1944,6.84
1952,6.78
1960,6.72
1968,6.66
1976,6.6
1984,6.54
1992,6.48
2000,6.42
2008,6.36
2016,6.3
2024,6.24
2032,6.18
2040,6.12
2048,6.06
2056,6
2064,5.94
2072,5.88
2080,5.82
2088,5.76
2096,5.7
2104,5.64
2112,5.58
2120,5.52
2128,5.46
2136,5.4
2144,5.34
2152,5.28
2160,5.22
2168,5.16
2176,5.1
2184,5.04
2192,4.98
2200,4.92
2208,4.86
2216,4.8
2224,4.74
2232,4.68
2240,4.62
2248,4.56
2256,4.5
2264,4.44
2272,4.38
2280,4.32
2288,4.26
2296,4.2
2304,4.14
2312,4.08
2320,4.02
2328,3.96
2336,3.9
2344,3.84
2352,3.78
2360,3.72
2368,3.66
2376,3.6
2384,3.54
2392,3.48
2400,3.42
2408,3.36
2416,3.3
2424,3.24
2432,3.18
2440,3.12
2448,3.06
2456,3
2464,2.94
2472,2.88
2480,2.82
2488,2.76
2496,2.7
2504,2.64
2512,2.58
2520,2.52
2528,2.46
2536,2.4
2544,2.34
2552,2.28
2560,2.22
2568,2.16
2576,2.1
2584,2.04
2592,1.98
2600,1.92
2608,1.86
2616,1.8
2624,1.74
2632,1.68
2640,1.62
2648,1.56
2656,1.5
2664,1.44
2672,1.38
2680,1.32
2688,1.26
2696,1.2
2704,1.14
2712,1.08
2720,1.02
2728,0.96
2736,0.9
2744,0.84
2752,0.78
2760,0.72
2768,0.66
2776,0.6
2784,0.54
2792,0.48
2800,0.42
2808,0.36
2816,0.3
2824,0.24
2832,0.18
2840,0.12
2848,0.06
2856,0
2864,-0.06
2872,-0.12
2880,-0.18
2888,-0.24
2896,-0.3
2904,-0.36
2912,-0.42
2920,-0.48
2928,-0.54
2936,-0.6
2944,-0.66
2952,-0.72
2960,-0.78
2968,-0.84
2976,-0.9
2984,-0.96
2992,-1.02
3000,-1.08
3008,-1.14
3016,-1.2
3024,-1.26
3032,-1.32
3040,-1.38
3048,-1.44
